state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
Kansas,2017-04-01,2017,04,2017-04,15139,6458,4767,3914
Kentucky,2017-04-01,2017,04,2017-04,392685,11262,7878,373545
Louisiana,2017-04-01,2017,04,2017-04,22065,11477,6905,3683
Maine,2017-04-01,2017,04,2017-04,8115,3929,3200,986
Mariana Islands,2017-04-01,2017,04,2017-04,13,11,2,0
Maryland,2017-04-01,2017,04,2017-04,13182,4525,5272,3385
Massachusetts,2017-04-01,2017,04,2017-04,17866,6622,2756,8488
Michigan,2017-04-01,2017,04,2017-04,41939,12571,9402,19966
Minnesota,2017-04-01,2017,04,2017-04,71484,13300,12549,45635
Mississippi,2017-04-01,2017,04,2017-04,16803,9209,5294,2300
Missouri,2017-04-01,2017,04,2017-04,40019,21757,15201,3061
Montana,2017-04-01,2017,04,2017-04,10293,3430,4976,1887
Nebraska,2017-04-01,2017,04,2017-04,5745,143,1706,3896
Nevada,2017-04-01,2017,04,2017-04,10588,5172,2870,2546
New Hampshire,2017-04-01,2017,04,2017-04,10792,5737,3146,1909
New Jersey,2017-04-01,2017,04,2017-04,9119,5722,3201,196
New Mexico,2017-04-01,2017,04,2017-04,12748,6120,4504,2124
New York,2017-04-01,2017,04,2017-04,33113,12385,14972,5756
North Carolina,2017-04-01,2017,04,2017-04,39992,3021,11535,25436
North Dakota,2017-04-01,2017,04,2017-04,6504,2260,2600,1644
Ohio,2017-04-01,2017,04,2017-04,66800,32666,16796,17338
Oklahoma,2017-04-01,2017,04,2017-04,27478,14941,10506,2031
Oregon,2017-04-01,2017,04,2017-04,27936,15168,10922,1846
Pennsylvania,2017-04-01,2017,04,2017-04,85908,48714,11966,25228
Puerto Rico,2017-04-01,2017,04,2017-04,1387,1111,205,71
Rhode Island,2017-04-01,2017,04,2017-04,2133,1166,684,283
South Carolina,2017-04-01,2017,04,2017-04,30218,10485,4954,14779
South Dakota,2017-04-01,2017,04,2017-04,7857,3004,3206,1647
Tennessee,2017-04-01,2017,04,2017-04,57852,23079,11527,23246
Texas,2017-04-01,2017,04,2017-04,109961,50938,31852,27171
Utah,2017-04-01,2017,04,2017-04,23177,4327,3668,15182
Vermont,2017-04-01,2017,04,2017-04,3818,1867,1721,230
Virgin Islands,2017-04-01,2017,04,2017-04,111,23,7,81
Virginia,2017-04-01,2017,04,2017-04,48631,29486,16844,2301
Washington,2017-04-01,2017,04,2017-04,47895,19521,12314,16060
West Virginia,2017-04-01,2017,04,2017-04,16988,7720,6373,2895
Wisconsin,2017-04-01,2017,04,2017-04,45872,16858,13567,15447
Wyoming,2017-04-01,2017,04,2017-04,4269,1775,1873,621
Alabama,2017-03-01,2017,03,2017-03,48769,12101,8299,28369
Alaska,2017-03-01,2017,03,2017-03,6971,3322,2860,789
Arizona,2017-03-01,2017,03,2017-03,38170,16701,9960,11509
Arkansas,2017-03-01,2017,03,2017-03,23290,9129,7875,6286
California,2017-03-01,2017,03,2017-03,146592,49343,28320,68929
Colorado,2017-03-01,2017,03,2017-03,45645,21480,14426,9739
Connecticut,2017-03-01,2017,03,2017-03,18787,7476,2551,8760
Delaware,2017-03-01,2017,03,2017-03,5527,2700,1750,1077
District of Columbia,2017-03-01,2017,03,2017-03,111,83,3,25
Florida,2017-03-01,2017,03,2017-03,122716,64460,25469,32787
Georgia,2017-03-01,2017,03,2017-03,57235,21357,11266,24612
Guam,2017-03-01,2017,03,2017-03,136,74,41,21
Hawaii,2017-03-01,2017,03,2017-03,1090,3,0,1087
Idaho,2017-03-01,2017,03,2017-03,16675,4944,5577,6154
Illinois,2017-03-01,2017,03,2017-03,163728,30518,14411,118799
Indiana,2017-03-01,2017,03,2017-03,79624,28764,15032,35828
Iowa,2017-03-01,2017,03,2017-03,20026,350,3238,16438
Kansas,2017-03-01,2017,03,2017-03,17891,8435,6017,3439
Kentucky,2017-03-01,2017,03,2017-03,397959,15798,11051,371110
Louisiana,2017-03-01,2017,03,2017-03,29310,15308,9282,4720
Maine,2017-03-01,2017,03,2017-03,9632,4711,3466,1455
Mariana Islands,2017-03-01,2017,03,2017-03,11,9,1,1
Maryland,2017-03-01,2017,03,2017-03,15769,5503,5891,4375
Massachusetts,2017-03-01,2017,03,2017-03,21059,7377,3479,10203
Michigan,2017-03-01,2017,03,2017-03,54452,16219,11499,26734
Minnesota,2017-03-01,2017,03,2017-03,77749,14321,13466,49962
